"시점","동별(1)",동별(2),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"시점","동별(1)",동별(2),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"2021","합계",마포구,179861,378686,177233,201453,368905,173504,195401,9781,3729,6052,2.05,54582
"2021","합계",양천구,181404,450487,220537,229950,447302,219214,228088,3185,1323,1862,2.47,68627
"2021","합계",강서구,271175,579768,278720,301048,574315,276292,298023,5453,2428,3025,2.12,92558
"2021","합계",구로구,180929,421163,208873,212290,396754,195537,201217,24409,13336,11073,2.19,72611
"2021","합계",금천구,117595,244891,124110,120781,230811,116527,114284,14080,7583,6497,1.96,41041
"2021","합계",영등포구,187020,400908,198740,202168,376837,185926,190911,24071,12814,11257,2.01,62516
"2021","합계",동작구,184812,394364,190241,204123,385483,186426,199057,8881,3815,5066,2.09,66613
"2021","합계",관악구,276597,499449,250058,249391,485699,243991,241708,13750,6067,7683,1.76,79871
"2021","합계",서초구,170244,416167,198914,217253,412279,197034,215245,3888,1880,2008,2.42,60678
"2021","합계",강남구,234233,537800,257280,280520,533042,255047,277995,4758,2233,2525,2.28,78226
"2021","합계",송파구,282417,663965,319895,344070,658338,317346,340992,5627,2549,3078,2.33,97691
"2021","합계",강동구,201613,466472,228682,237790,462664,227002,235662,3808,1680,2128,2.29,74070
"2022","합계",소계,4446296,9667669,4675560,4992109,9428372,4570048,4858324,239297,105512,133785,2.12,1667411
"2022","합계",종로구,72524,152211,72980,79231,141379,68395,72984,10832,4585,6247,1.95,27958
"2022","합계",중구,63139,130785,63377,67408,120437,58563,61874,10348,4814,5534,1.91,25055
"2022","합계",용산구,109805,233284,113012,120272,218650,105087,113563,14634,7925,6709,1.99,39037
"2022","합계",성동구,133305,288234,139691,148543,281000,136633,144367,7234,3058,4176,2.11,47720
"2022","합계",광진구,169291,351252,168197,183055,337416,162541,174875,13836,5656,8180,1.99,54071
"2022","합계",동대문구,169873,353601,171903,181698,336644,165755,170889,16957,6148,10809,1.98,64468
"2022","합계",중랑구,187413,390140,191422,198718,385318,189537,195781,4822,1885,2937,2.06,74920
"2022","합계",성북구,197082,441984,211246,230738,430397,206961,223436,11587,4285,7302,2.18,77475
"2022","합계",강북구,144313,297702,144037,153665,293660,142567,151093,4042,1470,2572,2.03,66307
"2022","합계",도봉구,138356,313989,152175,161814,311694,151398,160296,2295,777,1518,2.25,66998
"2022","합계",노원구,217540,508014,244010,264004,503734,242145,261589,4280,1865,2415,2.32,92040
"2022","합계",은평구,213876,470602,224163,246439,466746,222592,244154,3856,1571,2285,2.18,89650
"2022","합계",서대문구,145797,319554,150094,169460,306337,145816,160521,13217,4278,8939,2.10,55996
"2022","합계",마포구,180084,375585,175006,200579,364638,171043,193595,10947,3963,6984,2.02,55914
"2022","합계",양천구,181187,444010,216975,227035,440881,215682,225199,3129,1293,1836,2.43,72393
"2022","합계",강서구,273697,574638,275585,299053,569166,273203,295963,5472,2382,3090,2.08,97128
